"cid","sid","c_name","typ","charge","c_using","amount","c_create_date"
"111100030","11110003","종묘 공영주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"111100060","11110006","세종로 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"111400180","11140018","그랜드앰배서더 서울","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"111700040","11170004","한강진역 공영주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"112000060","11200006","마장동사무소 앞(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"112300050","11230005","청량리롯데백화점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"112300060","11230006","이마트 이문점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"112600030","11260003","홈플러스 면목점","급속","DC차데모+AC3상","사용불가","50","Wed Sep 23 14:08:19 2020"
"112900030","11290003","홈플러스 월곡점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"112900060","11290006","성북벤처빌딩 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"113050020","11305002","롯데마트 삼양점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"113200040","11320004","빅마켓 도봉점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"113800010","11380001","이마트 은평점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"113800020","11380002","구파발역 환승주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"114400060","11440006","홈플러스 월드컵점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"114400070","11440007","시설관리공단 마포유수지주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"114400170","11440017","노을공원","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"114700010","11470001","홈플러스 목동점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"114700030","11470003","해맞이공영주차장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"115000040","11500004","홈플러스 가양점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"115000080","11500008","롯데마트 김포공항점","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"115000090","11500009","메이필드호텔","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
