"sid","name","u_time","agency","do","city","gu","c_add","phone","fee","etc","create_date"
"11110003","종묘 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","종로구","서울특별시 종로구 종로 157 , 지하주차장 4층 하층 T구역(훈정동 1-2)","1661-9408","유료","주차비 5분 200원(저공해스티커 부착시) ","Wed Sep 23 14:00:54 2020"
"11110006","세종로 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","종로구","서울특별시 종로구 세종대로 189 , 지하주차장 4층 D구역 계단실 앞(세종로 80-1)","1661-9408","유료","주차비 저공해스티커 있을시 5분당 150원 ","Wed Sep 23 14:00:54 2020"
"11140018","그랜드앰배서더 서울","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","중구","서울특별시 중구 동호로 287 , 대형버스주차장(장충동2가 186-54)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11170004","한강진역 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","용산구","서울특별시 용산구 한남동 산10-84 , 지상실외주차장","1661-9408","유료","주차비 10분 250원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11200006","마장동사무소 앞(공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","성동구","서울특별시 성동구 마장동 808 (마장동 808)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11230005","청량리롯데백화점","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","동대문구","서울특별시 동대문구 왕산로 214 , 주차장 옥상(전농동 591-53)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11230006","이마트 이문점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","동대문구","서울특별시 동대문구 이문로 136 , 지하주차장 1층 D-04(이문동 292-10)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11260003","홈플러스 면목점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","중랑구","서울특별시 중랑구 사가정로 332 , 지상주차장 4층 406구역(면목동 168-2)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11290003","홈플러스 월곡점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","성북구","서울특별시 성북구 화랑로 76 , 지하주차장 3층 98구역(하월곡동 46-73)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11290006","성북벤처빌딩 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","성북구","서울특별시 성북구 장위2동 65-154 (장위2동 65-154)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11305002","롯데마트 삼양점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","강북구","서울특별시 강북구 삼양로 247 삼양시장, 지상주차장 3층 324구역(미아동 1359)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11320004","빅마켓 도봉점","10:00~22:00","환경부(한국자동차환경협회)","서울특별시","서울시","도봉구","서울특별시 도봉구 마들로 645 , 지상주차장 4층 406구역(방학동 717-9)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11380001","이마트 은평점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","은평구","서울특별시 은평구 은평로 111 , 지하주차장 4층 A구역(응암동 90-1)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11380002","구파발역 환승주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","은평구","서울특별시 은평구 진관동 66-30 , 지하주차장 1층 20구역","1661-9408","유료","주차비 5분 무료 이후 5분당 50원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11440006","홈플러스 월드컵점","08:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","마포구","서울특별시 마포구 월드컵로 240 , 지상주차장 1층(성산동 529-16)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11440007","시설관리공단 마포유수지주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","마포구","서울특별시 마포구 마포대로1길 19 , 지상주차장(마포동 36-1)","1661-9408","유료","주차비 10분 250원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11440017","노을공원","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","마포구","서울특별시 마포구 상암동 482-116,  ","1661-9408","유료","주차비 10분 300원 ","Wed Sep 23 14:00:54 2020"
"11470001","홈플러스 목동점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","양천구","서울특별시 양천구 목동서로 170 , 지상주차장 2층 01구역(목동 919-7)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11470003","해맞이공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","양천구","서울특별시 양천구 지양로 47 (지양로 47)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11500004","홈플러스 가양점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","강서구","서울특별시 강서구 양천로 431 , 지하주차장 1층(가양동 18-24)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11500008","롯데마트 김포공항점","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","강서구","서울특별시 강서구 하늘길 77 , 지하주차장 1층 A-18구역(방화동 886)","1661-9408","유료","주차비 30분 무료 후 30분당 1000원 ","Wed Sep 23 14:00:54 2020"
"11500009","메이필드호텔","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","강서구","서울특별시 강서구 방화대로 94 , 호텔 정면 주차장(외발산동 426)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11530002","롯데마트 구로점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","구로구","서울특별시 구로구 경인로 482 , 지상주차장 5층(구로동 636-89)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11530007","천왕역 환승주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","구로구","서울특별시 구로구 오류동 174-10 , 천왕역 환승주차장 1층","1661-9408","유료","주차비 5분 50원(친환경차 50%감면) ","Wed Sep 23 14:00:54 2020"
"11530008","구로리공원 앞(공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","구로구","서울특별시 구로구 구로동 136-14 (구로동 136-14)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11545001","홈플러스 시흥점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","금천구","서울특별시 금천구 시흥대로 201 , 지상주차장 4층 28구역(시흥동 992-47)","1661-9408","유료","주차비 30분 무료, 전기차 충전기 무료 ","Wed Sep 23 14:00:54 2020"
"11545005","독산1동 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","금천구","서울특별시 금천구 범안로12가길 65 , 독산1동 공영주차장 옥상(독산동 1006-94)","1661-9408","유료","주차비 10분 65원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11545006","제일모직아울렛 건너편(공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","금천구","서울특별시 금천구 가산동 239-27 (가산동 239-27)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11560005","영등포구 대신시장(공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","영등포구","서울특별시 영등포구 신길1동 116-15 (신길1동 116-15)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11590006","현대차 남부서비스센터","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","동작구","서울특별시 동작구 노량진로 53 , 현대자동차 남부서비스센터 본관 후문 주차장(대방동 70-1)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11590008","동작주차공원 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","동작구","서울특별시 동작구 현충로 213 , 출입구 왼쪽(동작동 326)","1661-9408","유료","주차비 10분 100원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11620007","조원동 제1공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","관악구","서울특별시 관악구 신림동 571-6 (신림동 571-6)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11650003","사당역 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","서초구","서울특별시 서초구 과천대로 950-18 , 지상주차장 북주차장(우측)(방배동 507-1)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"11650005","이마트 양재점","09:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","서초구","서울특별시 서초구 매헌로 16 , 지하주차장 2층 Z구역(양재동 215)","1661-9408","유료","주차비 1시간 무료 ","Wed Sep 23 14:00:54 2020"
"11680001","수서역 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","강남구","서울특별시 강남구 수서동 735 , 지상주차장 북주차장(우측)","1661-9408","유료","주차비 10분 200원 ","Wed Sep 23 14:00:54 2020"
"11680002","학여울역 공영주차장","05:00~익일01:00","환경부(한국자동차환경협회)","서울특별시","서울시","강남구","서울특별시 강남구 남부순환로 3104 , 지하주차장 3층 M418구역(대치동 514)","1661-9408","유료","주차비 5분 50원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11680012","개포동공원 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","강남구","서울특별시 강남구 개포로 509 , 지하주차장 1층 8구역(개포동 183-2)","1661-9408","유료","주차비 10분 200원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"11680013","탄천제2호 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","강남구","서울특별시 강남구 일원동 4-49 ","1661-9408","유료","주차비 10분 200원 ","Wed Sep 23 14:00:54 2020"
"11710001","롯데마트 잠실점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","송파구","서울특별시 송파구 올림픽로 240 , 지하주차장 1층 M148구역(잠실동 40-1)","1661-9408","유료","주차비 1시간 무료 ","Wed Sep 23 14:00:54 2020"
"11740004","이마트 명일점","10:00~24:00","환경부(한국자동차환경협회)","서울특별시","서울시","강동구","서울특별시 강동구 고덕로 276 , 지하주차장 1층 E구역(명일동 46-4)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26200001","홈플러스 영도점","09:00~24:00","환경부(한국자동차환경협회)","부산광역시","부산시","영도구","부산광역시 영도구 대교로14번길 57 , 지상주차장 3층 410구역(봉래동2가 151-1)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26260002","온천장역 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","금정구","부산광역시 금정구 오시게로 20 , 주차장 출구 오른쪽(온천동 156-14)","1661-9408","유료","주차비 10분 150원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"26290002","이마트 문현점","10:00~24:00","환경부(한국자동차환경협회)","부산광역시","부산시","남구","부산광역시 남구 전포대로91번길 47 , 지상주차장 4층 A구역(문현동 751)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26380002","하단역 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","사하구","부산광역시 사하구 하신중앙로 313 , 주차장 출구 오른쪽(하단1동 599)","1661-9408","유료","주차비 10분 300원 ","Wed Sep 23 14:00:54 2020"
"26410001","이마트 금정점","10:00~24:00","환경부(한국자동차환경협회)","부산광역시","부산시","금정구","부산광역시 금정구 중앙대로1841번길 24 , 지상주차장 3층 73구역(구서동 368)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26410002","남산역 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","금정구","부산광역시 금정구 중앙대로 2030 , 주차장 입구 정면(남산동 893-8)","1661-9408","유료","주차비 10분 500원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"26440004","부산환경공단 명지사업소","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","강서구","부산광역시 강서구 명지오션시티13로 12-11 , 주차장 입구 왼쪽(명지동 3226-1)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26470003","홈플러스 아시아드점","09:00~24:00","환경부(한국자동차환경협회)","부산광역시","부산시","연제구","부산광역시 연제구 종합운동장로 7 , 지하주차장 1층 35구역(거제동 1208)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26470004","이마트 연제점","10:00~24:00","환경부(한국자동차환경협회)","부산광역시","부산시","연제구","부산광역시 연제구 연수로 89 , 지하주차장 1층 E구역(연산동 822-7)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26530004","학장천 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","사상구","부산광역시 사상구 가야대로 309 , 주차장 입구 정면(주례동 1233-7)","1661-9408","유료","주차비 10분 200원 ","Wed Sep 23 14:00:54 2020"
"26710001","장안휴게소(울산방향)","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","기장군","부산광역시 기장군 장안읍 동해고속도로 26 , 휴게소와 LPG충전소 사이(명례리 산78-1)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"26710003","기장군청","24시간 이용가능","환경부(한국자동차환경협회)","부산광역시","부산시","기장군","부산광역시 기장군 기장읍 기장대로 560 (기장대로 560)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27140005","성명맨션 앞(공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","동구","대구광역시 동구 신천3동 146-15 (신천3동 146-15)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27140006","망우당공원 택시쉼터","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","동구","대구광역시 동구 효동로2길 93  (효동로2길 93)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27170002","원평치안센터(공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","서구","대구광역시 서구 평리3동 729-2 (평리3동 729-2)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27230005","만평네거리 북편 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","북구","대구광역시 북구 팔달로 105  (팔달로 105)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27260005","대구교통연수원","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","수성구","대구광역시 수성구 무학로 203  (무학로 203)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27290005","성서국민체육센터","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","달서구","대구광역시 달서구 선원로 133  (선원로 133)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"27710003","홀마트 앞 (공중전화부스)","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","달성군","대구광역시 달성군 논공읍 논공로 749 (논공로 749)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28110004","인천공항 정부합동청사","24시간 이용가능","환경부(한국자동차환경협회)","인천광역시","인천시","중구","인천광역시 중구 공항로424번길 47 , 정문 주차장(운서동 2850)","1661-9408","유료","주차비 1시간 500원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"28110007","롯데마트 영종도점","10:00~22:00","환경부(한국자동차환경협회)","인천광역시","인천시","중구","인천광역시 중구 흰바위로 51 , 지상주차장 4층 455구역(운서동 2803-2)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28110008","차이나타운 주차장","24시간 이용가능","환경부(한국자동차환경협회)","인천광역시","인천시","중구","인천광역시 중구 신포로27번길 80 (신포로27번길 80)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28140001","송림체육관","24시간 이용가능","환경부(한국자동차환경협회)","인천광역시","인천시","동구","인천광역시 동구 염전로 30 (염전로 30)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28170003","홈플러스 인하점","09:00~24:00","환경부(한국자동차환경협회)","인천광역시","인천시","미추홀구","인천광역시 미추홀구 소성로 6 , 주차장 옥상(용현동 648)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28185004","이마트 연수점","10:00~24:00","환경부(한국자동차환경협회)","인천광역시","인천시","연수구","인천광역시 연수구 경원대로 184 , 주차장 옥상(동춘동 926-9)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28200002","홈플러스 구월점","09:00~24:00","환경부(한국자동차환경협회)","인천광역시","인천시","남동구","인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역(구월동 1130)","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"28245002","계양구 공영주차장","24시간 이용가능","환경부(한국자동차환경협회)","인천광역시","인천시","계양구","인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞 (작전동 862-30)","1661-9408","유료","주차비 30분 300원 이후 15분당 150원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
"28260007","인천서구청 제1주차장","24시간 이용가능","환경부(한국자동차환경협회)","인천광역시","인천시","서구","인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층(심곡동 239-9)","1661-9408","유료","주차비 30분 600원 이후 15분 150원(친환경차 50% 감면) ","Wed Sep 23 14:00:54 2020"
