,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
0,DMC 산학협력연구센터,24시간 이용가능,급속,1,0,0,서울특별시 마포구 매봉산로 37 ,1661-9408,유료,급속(100kW멀티),10분/500원 
1,Park M (주차복합빌딩),24시간 이용가능,급속,2,0,0,서울특별시 마포구 매봉산로 80 ,1661-9408,무료,급속(200kW동시),"최초30분 1500원, 10분당 500원 주민센터이용 50% 할인 "
2,SETEC,24시간 이용가능,급속,1,0,0,서울특별시 강남구 남부순환로3104 ,1661-9408,유료,급속(100kW멀티),"충전차량에한하여 1시간무료 10분당500월 일주차15,000원 "
3,sh서울주택도시공사,24시간 이용가능,급속,2,0,0,서울특별시 강남구 개포로 621 ,1661-9408,유료,급속(200kW동시),없음 
4,가로공원로 지하공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강서구 가로공원로 189  지하주차장 05,1661-9408,유료,급속(50kW),주차요금 별도 
5,가양레포츠센터,24시간 이용가능,급속,1,0,0,서울특별시 강서구 양천로61길 101 ,1661-9408,유료,급속(100kW멀티),없음 
6,가오리 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강북구 삼양로107길 30 ,1661-9408,유료,급속(100kW멀티),5분/150원 친환경차 50% 감면 
7,강남구청 삼성로 별관 부설 주차장,09:00~18:00,급속,0,1,0,서울특별시 강남구 삼성로 628 ,1661-9408,무료,급속(100kW멀티),"5분당 300원, 주말 무료 "
8,강남치매지원센터 공영노외주차장,24시간 이용가능,급속,2,0,0,서울특별시 강남구 선릉로108길 27 ,1661-9408,무료,급속(200kW동시),5분당400원 
9,강동구청,24시간 이용가능,급속,2,0,0,서울특별시 강동구 성내로 25 ,1661-9408,유료,급속(200kW동시),5분 250원 친환경차 50% 감면 
10,강변 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 둘레길 47-5 ,1661-9408,무료,급속(200kW동시),5분당 100원 저공해차량 50% 할인 
11,강서구민올림픽체육센터,24시간 이용가능,급속,0,1,0,서울특별시 강서구 화곡로65길62 ,1661-9408,유료,급속(100kW멀티),없음 
12,개봉1동 주민센터 옆 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 구로구 개봉동 134-8 ,1661-9408,유료,급속(100kW멀티),1시간무료 /구매금액별 50%감면 친환경차 50% 감면 
13,개포동공원 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 강남구 개포로 509 , 지하주차장 1층 8구역(개포동 183-2)",1661-9408,유료,급속(50kW),주차비 10분 200원(친환경차 50% 감면) 
14,거여동공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 송파구 오금로68길8 ,1661-9408,유료,급속(100kW멀티),없음 
15,곰달래공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 양천구 곰달래로10길 4 ,1661-9408,무료,급속(100kW멀티),5분당 50원 
16,곰달래문화복지센터 공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 강서구 강서로5길 50  지상주차장,1661-9408,유료,급속(50kW),주차요금 별도 
17,공덕1-1공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 마포구 효창목길 31  옥상,1661-9408,유료,급속(50kW),주차요금 별도 
18,구로리공원 앞(공중전화부스),24시간 이용가능,급속,0,1,0,서울특별시 구로구 구로동 136-14 (구로동 136-14),1661-9408,유료,급속(50kW),없음 
19,구룡공원 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 서초구 양재동 301-6 ,1661-9408,무료,급속(200kW동시),10분당 300원 저공해차량 50% 할인 
20,구민회관,09:00~18:00 이후 무료,급속,0,1,0,서울특별시 송파구 백제고분로 242 ,1661-9408,무료,급속(100kW멀티),"최초30분 무료, 이후 5분당 300원, 저공해차량 50% 할인 "
21,구파발광역환승센터 주차장,24시간 이용가능,급속,2,0,0,서울특별시 은평구 진관동 66-30 ,1661-9408,유료,급속(200kW동시),"1시간 면제, 이후 50% 감면 친환경차 50% 감면 "
22,구파발역 환승주차장,24시간 이용가능,급속,1,0,0,"서울특별시 은평구 진관동 66-30 , 지하주차장 1층 20구역",1661-9408,유료,급속(50kW),주차비 5분 무료 이후 5분당 50원(친환경차 50% 감면) 
23,국립극장,05:00~00:00,급속,2,0,0,서울특별시 중구 장충단로 59  국립극장 좌측 출구 주차장,1661-9408,유료,급속(50kW),주차요금 별도 
24,국방부 서문 주차장,24시간 이용가능,급속,0,1,0,서울특별시 용산구 한강대로 62다길 42 ,1661-9408,무료,급속(100kW멀티),없음 
25,국회도서관,24시간 이용가능,급속,2,0,1,"서울특별시 영등포구 의사당대로1, 국회도서관 앞 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
26,국회의원회관,09:00 ~ 18:00,급속,2,1,0,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
27,그랜드앰배서더 서울,24시간 이용가능,급속,1,0,0,"서울특별시 중구 동호로 287 , 대형버스주차장(장충동2가 186-54)",1661-9408,유료,급속(50kW),없음 
28,그랜드힐튼호텔,24시간 이용가능,급속,1,0,0,서울특별시 서대문구 연희로 353 ,1661-9408,유료,급속(50kW),없음 
29,난곡동 제1공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 관악구 난곡로34나길 14  2층,1661-9408,유료,급속(50kW),주차요금 별도 
30,난향동 주민센터,24시간 이용가능,급속,0,1,0,서울특별시 관악구 난곡로 67 ,1661-9408,유료,급속(50kW),없음 
31,남가좌2동 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 서대문구 남가좌2동 3-75 ,1661-9408,무료,급속(100kW멀티),5분당 150원 
32,냉천길 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강북구 삼양로 230-12 ,1661-9408,유료,급속(100kW멀티),5분/200원 친환경차 50% 감면 
33,노보텔,24시간 이용가능,급속,1,0,0,서울특별시 강남구 봉은사로 130  지하5층 우측,1661-9408,유료,급속(50kW),주차요금 별도 
34,노원에코센터,24시간 이용가능,급속,1,0,0,서울특별시 노원구 덕릉로 450 (상계동 770-2),1661-9408,유료,급속(50kW),없음 
35,노을공원,24시간 이용가능,급속,1,0,0,"서울특별시 마포구 상암동 482-116,  ",1661-9408,유료,급속(50kW),주차비 10분 300원 
36,논현로22길 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강남구 개포로 25길 32 ,1661-9408,유료,급속(100kW멀티),"09:00~19:00 5분당 200원 시간당2,400원 이후시간 무료개방 친환경차 50% 감면 "
37,논현초교 공영노외주차장,24시간 이용가능,급속,2,0,0,서울특별시 강남구 강남대로120길 33 ,1661-9408,무료,급속(200kW동시),5분당300원 
38,다락골공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 양천구 중앙로29길 41 ,1661-9408,무료,급속(100kW멀티),5분당 50원 
39,당산에스에이치빌 아파트 앞,24시간 이용가능,급속,1,0,0,서울특별시 영등포구 영신로 183 ,1661-9408,유료,급속(50kW),주차요금 별도 
40,대청역 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강남구 개포동 13-2 ,1661-9408,유료,급속(100kW멀티),"5분당 100원 시간당 1,200원 친환경차 50% 감면 "
41,도봉구청,09:00~18:00,급속,2,0,0,서울특별시 도봉구 마들로 656 ,1661-9408,유료,급속(200kW동시),없음 
42,도봉기적의도서관,09:00~18:00,급속,2,0,0,서울특별시 광진구 광나루로56길 85 ,1661-9408,유료,급속(100kW멀티),없음 
43,도봉산환승주차장,24시간 이용가능,급속,2,0,0,서울특별시 도봉구 도봉동 341-1 ,1661-9408,유료,급속(200kW동시),1시간 무료 충전 영수증 지참시 무료 친환경차 50% 감면 
44,독산1동 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 금천구 범안로12가길 65 , 독산1동 공영주차장 옥상(독산동 1006-94)",1661-9408,유료,급속(50kW),주차비 10분 65원(친환경차 50% 감면) 
45,동대문구청,24시간 이용가능,급속,0,1,0,서울특별시 동대문구 천호대로 145  동대문구청 옥외주차장,1661-9408,유료,급속(50kW),주차요금 별도 
46,동작주차공원 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 동작구 현충로 213 , 출입구 왼쪽(동작동 326)",1661-9408,유료,급속(50kW),주차비 10분 100원(친환경차 50% 감면) 
47,롯데 VIC마켓 금천점,24시간 이용가능,급속,2,0,0,서울특별시 금천구 두산로 71 (독산동) ,1661-9408,유료,급속(50kW),없음 
48,롯데 VIC마켓 도봉점,10:00 ~ 22:00,급속,1,0,0,서울특별시 도봉구 마들로 645 (방학동) ,1661-9408,유료,급속(50kW),없음 
49,롯데 빅마켓,24시간 이용가능,급속,6,0,0,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F) ",031-994-6115,유료,"급속(50kW), 급속(100kW동시)",없음 
50,롯데마트 구로점,10:00~24:00,급속,0,1,0,"서울특별시 구로구 경인로 482 , 지상주차장 5층(구로동 636-89)",1661-9408,유료,급속(50kW),없음 
51,롯데마트 김포공항점,24시간 이용가능,급속,1,0,0,"서울특별시 강서구 하늘길 77 , 지하주차장 1층 A-18구역(방화동 886)",1661-9408,유료,급속(50kW),주차비 30분 무료 후 30분당 1000원 
52,롯데마트 삼양점,10:00~24:00,급속,0,1,0,"서울특별시 강북구 삼양로 247 삼양시장, 지상주차장 3층 324구역(미아동 1359)",1661-9408,유료,급속(50kW),없음 
53,롯데마트 서울양평점,24시간 이용가능,급속,2,0,0,서울특별시 영등포구 선유로 138 5층,1661-9408,유료,급속(100kW멀티),없음 
54,롯데마트 송파점,10:00~24:00,급속,1,0,0,서울특별시 송파구 중대로 80  지하4층 C8,1661-9408,유료,급속(50kW),주차요금 별도 
55,롯데마트 은평점,07:00~23:30,급속,2,0,0,서울특별시 은평구 통일로 1050 ,1661-9408,무료,급속(200kW동시),"최초30분 무료, 30분당 1000원 "
56,롯데마트 잠실점,10:00~24:00,급속,0,0,1,"서울특별시 송파구 올림픽로 240 , 지하주차장 1층 M148구역(잠실동 40-1)",1661-9408,유료,급속(50kW),주차비 1시간 무료 
57,롯데마트 중계점,10:00~24:00,급속,1,0,0,서울특별시 노원구 노원로 330  옥상 매장 앞,1661-9408,유료,급속(50kW),주차요금 별도 
58,롯데백화점 본점,09:00~21:00,급속,4,0,0,서울특별시 중구 을지로 30 ,1661-9408,유료,급속(200kW동시),1시간무료/10분 1000원 
59,마곡레포츠센터 ,24시간 이용가능,급속,0,0,1,"서울특별시 강서구 양천로 251, 입구 우측 ",1661-9408,유료,급속(50kW),없음 
60,마장동사무소 앞(공중전화부스),24시간 이용가능,급속,1,0,0,서울특별시 성동구 마장동 808 (마장동 808),1661-9408,유료,급속(50kW),없음 
61,마장축산물시장 서문 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 고산자로 26길 6 ,1661-9408,유료,급속(200kW동시),1시간 무료 친환경차 50% 감면 
62,마천동2공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 송파구 성내천로299-7 ,1661-9408,유료,급속(100kW멀티),없음 
63,마포공영주차장,24시간 이용가능,급속,2,2,0,서울특별시 마포구 마포대로1길 9 ,1661-9408,유료,급속(400kW동시),최초5분 250원/ 5분당 250원 친환경차 50% 감면 
64,마포중앙도서관,24시간 이용가능,급속,1,0,0,서울특별시 마포구 성산로 128 ,1661-9408,무료,급속(100kW멀티),5분당 200원 저공해차량 50% 할인 
65,망원동 공영주차장1,24시간 이용가능,급속,0,4,0,서울특별시 마포구 동교로1길 39 ,1661-9408,무료,급속(200kW동시),5분당150원 저공해차량 50% 할인 
66,메이필드호텔,24시간 이용가능,급속,1,0,0,"서울특별시 강서구 방화대로 94 , 호텔 정면 주차장(외발산동 426)",1661-9408,유료,급속(50kW),없음 
67,목2동 주민센터,24시간 이용가능,급속,1,0,0,서울특별시 양천구 목동 중앙본로 120 ,1661-9408,유료,급속(100kW멀티),없음 
68,목4동주민센터,24시간 이용가능,급속,0,1,0,서울특별시 양천구 목동중앙로 25  ,1661-9408,무료,급속(100kW멀티),없음 
